"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom(s) (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:recordResourceToRecordResourceRelation_role","has the role of the Record Resource to Record Resource Relation","a le rôle de la Relation entre ressources archivistiques","desempeña el papel de la Relación entre recursos documentales","Connects a RecordResourceToRecordResourceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceToRecordResourceRelation class. It should be used only when you have to manage instances of the RecordResourceToRecordResourceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","RecordResourceToRecordResourceRelation","RecordResourceToRecordResourceRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceToRecordResourceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:regulatesOrRegulated","regulates or regulated","régule ou a régulé","regula o regulaba","Connects a Rule to a Thing that it regulates or regulated.","","RiC-R063 ('regulates or regulated' relation)","isRuleAssociatedWith","Rule","Thing","isOrWasRegulatedBy","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationConnects","relation connects","relation connecte","relación conecta","Connects an n-ary Relation to any of the Things involved.","","","isRelatedTo","Relation","Thing","thingIsConnectedToRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasContext","relation has context","relation a pour contexte","relación tiene como contexto","Connects an n-ary Relation to a Thing that is a secondary, contextual entity during the existence of the Relation.","The secondary entity may be, for instance, a Position or a Role Type.","","relationConnects","Relation","Thing","thingIsContextOfRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasDate","relation has date","relation a pour date","relación tiene como fecha","Connects an n-ary Relation to a Date.","","","isAssociatedWithDate; relationHasContext","Relation","Date","isDateAssociatedWithRelation","","","2024-12-19 : Added in RiC-O 1.1. | 2025-03-13 : Added French and Spanish labels."
"rico:relationHasSource","relation has source","relation a pour source","relación tiene como fuente","Connects an n-ary Relation to a Thing that is its source.","","","relationConnects","Relation","Thing","thingIsSourceOfRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasTarget","relation has target","relation a pour cible","relación tiene como objetivo","Connects an n-ary Relation to a Thing that is its target.","","","relationConnects","Relation","Thing","thingIsTargetOfRelation","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relation_role","has the role of the Relation","a le rôle de la Relation","desempeña el papel de la Relación","Connects a Relation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the generic Relation class. It should be used only when you have to manage instances of this Relation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","","Relation","Relation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the Relation rolified class. Declared it as reflexive. | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:resultedFromTheMergerOf","resulted from the merger of","résulte de la fusion de","resultado de la fusión de","Inverse of 'was merged into' object property.","","","isSuccessorOf","CorporateBody","CorporateBody","wasMergedInto","","","2023-06-21 : Object property created in order to enable an accurate representation of mergers between corporate bodies. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels. | 2024-03-15 : Make capitalisation of rdfs:comment consistent."
"rico:resultedFromTheSplitOf","resulted from the split of","résulte de la séparation de","resultado de la separación de","Inverse of 'was split into' object property.","","","isSuccessorOf","CorporateBody","CorporateBody","wasSplitInto","","","2023-06-21 : Object property created in order to enable an accurate representation of the split of a corporate body into two or more new corporate bodies. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels."
"rico:resultsOrResultedFrom","results or resulted from","résulte ou a résulté de","resulta o resultaba","Inverse of 'results or resulted in' object property.","","RiC-R061i ('results or resulted from' relation)","isAssociatedWithEvent","Thing","Event","resultsOrResultedIn","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:resultsOrResultedIn","results or resulted in","a ou a eu pour résultat","tiene o tenía como resultado a","Connects an Event to a Thing that results or resulted from the Event.","","RiC-R061 ('results or resulted in' relation)","isEventAssociatedWith","Event","Thing","resultsOrResultedFrom","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:roleIsContextOfCreationRelation","role is context of creation relation","rôle est le contexte de la relation de création","rol es contexto de relación de creación","Connects a Role Type to a Creation Relation (this Role Type being the specific role played by the creating Person in the context of this Relation).","","","thingIsContextOfRelation","RoleType","CreationRelation","creationWithRole","","","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:ruleRelation_role","has the role of the Rule Relation","a le rôle de la Relation impliquant une règle","desempeña el papel de la Relación con regla","Connects a RuleRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RuleRelation class. It should be used only when you have to manage instances of the RuleRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","RuleRelation","RuleRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RuleRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:sequentialRelation_role","has the role of the Sequential Relation","a le rôle de la Relation séquentielle","desempeña el papel de la Relación secuencial","Connects a SequentialRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the SequentialRelation class. It should be used only when you have to manage instances of the SequentialRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","relation_role","SequentialRelation","SequentialRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the SequentialRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:siblingRelation_role","has the role of the Sibling Relation","a le rôle de la Relation de fratrie","desempeña el papel de la Relación familiar entre hermanos","Connects a SiblingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the SiblingRelation class. It should be used only when you have to manage instances of the SiblingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","familyRelation_role","SiblingRelation","SiblingRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the SiblingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
"rico:spouseRelation_role","has the role of the Spouse Relation","a le rôle de la Relation matrimoniale","desempeña el papel de la Relación matrimonial entre personas","Connects a SpouseRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the SpouseRelation class. It should be used only when you have to manage instances of the SpouseRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.","","familyRelation_role","SpouseRelation","SpouseRelation","","","","2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the SpouseRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2024-08-02 : Removed global reflexivity (leads to inconsistency)."
